"Order ID","Order Date","Seller","Base Currency","Shipping","Insurance","Add Chrg 1","Add Chrg 2","Credit","Coupon Credit","Order Total","Tax","Base Grand Total","Total Lots","Total Items","Order Status","Order Status Changed","Pmt In","Pmt Method","Order Note","Tracking No","Location","Batch","Batch Date","Condition","Item Description","Qty","Each","Total","Item Type","Item Number","Weight","Inv ID","Sub-Condition"
"","","","","","","","","","","","","","","","","","","","","","","1","8/22/2025","New","Trans-Light Blue Wave Angular Single with Bar End &#40;Lightning Bolt&#41; ","14","$0.10","$1.40","Part","27256","0.2","159233315",""
"","","","","","","","","","","","","","","","","","","","","","","1","8/22/2025","New","Yellow Minifigure, Head Dual Sided Female Reddish Brown Eyebrows, Nougat Freckles and Lips, Small Smirk / Left Eye Squinted Pattern ","20","$0.50","$10.00","Part","3626pb2145","0.55","177978730",""
"29163334","8/22/2025","HicksBricks","USD","$4.27","","$1.00","","","","$26.50","$0.00","$31.77","1","9","Shipped","8/26/2025","USD","PayPal","","9400150206217249366481","USA, Minnesota","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","8/22/2025","New","Albus Dumbledore - Dark Red Robe, Light Bluish Gray Hair ","9","$2.9441","$26.4969","Minifigure","hp147","4.2","182569460",""
"29163330","8/22/2025","bw2023","USD","$11.95","","","","","","$35.70","$0.00","$47.65","1","10","Shipped","8/25/2025","USD","PayPal (Onsite)","","9400150105501128743879","USA, Indiana","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","8/22/2025","New","Astromech Droid, R2-D2 - Flat Silver Head, Lavender Dots and Small Receptor ","10","$3.57","$35.70","Minifigure","sw0527a","5","444774766",""
"29163324","8/22/2025","apl2021","USD","$5.86","","","","","","$51.33","$0.00","$57.19","1","11","Shipped","8/24/2025","USD","PayPal (Onsite)","","9400136106194313899760","USA, Massachusetts","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","8/22/2025","New","The Mandalorian / Din Djarin / 'Mando' - Silver Beskar Armor, Cape ","11","$4.6665","$51.3315","Minifigure","sw1135","3.78","312372011",""
"29163291","8/22/2025","bricklabtx","USD","$5.99","","","","","","$64.91","$0.00","$70.90","1","10","Shipped","8/23/2025","USD","PayPal (Onsite)","","9400150105501125436651","USA, Texas","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","8/22/2025","New","Darth Vader - Printed Arms, Traditional Starched Fabric Cape, White Head with Frown ","10","$6.4913","$64.913","Minifigure","sw1273","4","489014581",""
